2C62_1|Chains	2C62_1|Chains
1PUE_3|Chains	1PUE_3|Chains
1NG9_3|Chains	1NG9_3|Chains
1NG9_3|Chains	1OH8_1|Chains
1ECR_3|Chain	1ECR_3|Chain
2BDP_3|Chain	2BDP_3|Chain
2A6O_2|Chains	2A6O_2|Chains
1Z1B_6|Chains	1Z1B_6|Chains
1ZET_3|Chain	1ZET_3|Chain
1PH8_3|Chain	1PH8_3|Chain
1PH8_3|Chain	1PH7_3|Chain
1PH8_3|Chain	1PH6_3|Chain
1PH8_4|Chain	1PH8_4|Chain
1PH8_4|Chain	1PH7_4|Chain
1PH8_4|Chain	1PH6_4|Chain
1IMH_3|Chains	1IMH_3|Chains
1AHD_3|Chain	1AHD_3|Chain
1Y6F_1|Chain	1Y6F_1|Chain
1Y6F_1|Chain	1M5R_1|Chains
1Y6F_3|Chains	1Y6F_3|Chains
1LQ1_3|Chains	1LQ1_3|Chains
1P3I_2|Chains	1P3I_2|Chains
1P3I_2|Chains	1P34_2|Chains
1P3I_2|Chains	1U35_2|Chains
1P3I_5|Chains	1P3I_5|Chains
1P3I_5|Chains	1P34_5|Chains
1P3I_5|Chains	1U35_5|Chains
1A35_3|Chain	1A35_3|Chain
1A35_3|Chain	1A36_3|Chain
1A35_3|Chain	1K4T_4|Chain
1X9N_4|Chain	1X9N_4|Chain
1JH9_2|Chain	1JH9_2|Chain
1J59_3|Chains	1J59_3|Chains
1J59_3|Chains	1ZRF_3|Chains
1LWW_3|Chain	1LWW_3|Chain
1LWW_3|Chain	1LWV_3|Chain
1LWW_3|Chain	1N39_3|Chain
1ZQG_3|Chain	1ZQG_3|Chain
1ZQG_3|Chain	1ZQD_3|Chain
1ZQG_3|Chain	1ZQO_3|Chain
1ZQG_3|Chain	1ZQR_3|Chain
1AZP_2|Chain	1AZP_2|Chain
1AZP_2|Chain	1WTP_2|Chains
1AZP_2|Chain	1XYI_2|Chain
1ZBI_3|Chains	1ZBI_3|Chains
1ZTT_3|Chain	1ZTT_3|Chain
1TRO_2|Chains	1TRO_2|Chains
1M5R_3|Chains	1M5R_3|Chains
2DGC_2|Chain	2DGC_2|Chain
1GCC_3|Chain	1GCC_3|Chain
1F4K_3|Chains	1F4K_3|Chains
1JKO_3|Chain	1JKO_3|Chain
2C6Y_1|Chains	2C6Y_1|Chains
1DSC_2|Chain	1DSC_2|Chain
1ZM5_2|Chain	1ZM5_2|Chain
1PH7_2|Chain	1PH7_2|Chain
1KU7_3|Chains	1KU7_3|Chains
1YF3_3|Chains	1YF3_3|Chains
1YF3_3|Chains	1Q0T_2|Chains
1S76_4|Chain	1S76_4|Chain
1P34_4|Chains	1P34_4|Chains
1P34_4|Chains	1U35_4|Chains
1P34_4|Chains	1P3I_4|Chains
1U35_3|Chains	1U35_3|Chains
1U35_3|Chains	1P34_3|Chains
1U35_3|Chains	1P3I_3|Chains
1Q3V_4|Chains	1Q3V_4|Chains
1Q3V_4|Chains	1KBU_3|Chains
1ORN_3|Chain	1ORN_3|Chain
1ORN_3|Chain	1P59_3|Chain
2E42_3|Chains	2E42_3|Chains
1P47_3|Chains	1P47_3|Chains
1P47_3|Chains	1A1L_3|Chain
1P47_3|Chains	1A1K_3|Chain
1VS2_2|Chain	1VS2_2|Chain
1RV5_2|Chains	1RV5_2|Chains
1N39_2|Chain	1N39_2|Chain
2ADY_2|Chains	2ADY_2|Chains
1MW8_2|Chain	1MW8_2|Chain
2FD8_2|Chain	2FD8_2|Chain
2FD8_2|Chain	2FDI_2|Chain
1BC8_3|Chain	1BC8_3|Chain
1BC8_3|Chain	1BC7_3|Chain
1BC8_3|Chain	1DUX_3|Chains
1BC8_3|Chain	1YO5_3|Chain
1RG2_2|Chains	1RG2_2|Chains
2AYG_2|Chains	2AYG_2|Chains
1DE9_2|Chains	1DE9_2|Chains
1DE9_4|Chains	1DE9_4|Chains
1TF6_3|Chains	1TF6_3|Chains
1JE8_2|Chains	1JE8_2|Chains
1V14_1|Chains	1V14_1|Chains
2C5R_1|Chains	2C5R_1|Chains
1CMA_3|Chains	1CMA_3|Chains
1F2I_2|Chains	1F2I_2|Chains
1QZG_2|Chains	1QZG_2|Chains
1QZG_2|Chains	1QZH_2|Chains
2EZG_3|Chain	2EZG_3|Chain
1LEI_3|Chain	1LEI_3|Chain
1LEI_3|Chain	1LEI_4|Chain
2BGW_1|Chains	2BGW_1|Chains
1P51_2|Chains	1P51_2|Chains
1P51_2|Chains	1OUZ_4|Chain
1P51_2|Chains	1OUZ_5|Chain
2ACJ_3|Chains	2ACJ_3|Chains
2ACJ_3|Chains	1QBJ_2|Chains
1SAX_3|Chains	1SAX_3|Chains
1SAX_3|Chains	1XSD_2|Chain
1DSZ_4|Chain	1DSZ_4|Chain
1DSZ_4|Chain	1DSZ_3|Chain
1DSZ_4|Chain	1LO1_3|Chain
1NH2_3|Chain	1NH2_3|Chain
1NH2_4|Chain	1NH2_4|Chain
1NH2_5|Chain	1NH2_5|Chain
1NH2_6|Chain	1NH2_6|Chain
1K3W_3|Chain	1K3W_3|Chain
1K3W_3|Chain	1TDZ_3|Chain
1K3W_3|Chain	1R2Z_3|Chain
1S9F_3|Chains	1S9F_3|Chains
1S9F_3|Chains	2C22_1|Chain
2AJQ_3|Chains	2AJQ_3|Chains
2AJQ_4|Chains	2AJQ_4|Chains
1PAR_3|Chains	1PAR_3|Chains
1HLO_3|Chains	1HLO_3|Chains
